,Unnamed: 0,structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,mni_nlin_x,mni_nlin_y,mni_nlin_z,donor,sample,position_along_hipp_AP_axis
0,19,4263,17,5707,CX,CA1,"CA1 field, right",1001646,77,89,116,19.5,-42.4,4.3,21.8763854439636,-42.36325962250329,4.71040157447649,10021,20,86
1,20,4264,17,5715,CX,CA2,"CA2 field, right",1001641,75,86,115,21.7,-41.2,7.7,23.89915152018869,-40.87905050008351,8.17652375258519,10021,21,86
2,21,4265,17,5723,CX,CA3,"CA3 field, right",1001496,76,86,115,20.6,-41.2,7.7,22.7032247142092,-40.994059738762296,8.301460324065731,10021,22,86
3,22,4266,17,5731,CX,CA4,"CA4 field, right",1001475,76,87,115,20.6,-41.2,6.6,22.928778680352,-41.054804183158495,7.1418313847951,10021,23,86
4,23,4267,17,5739,CX,DG,"dentate gyrus, right",998739,75,87,115,21.8,-41.2,6.6,24.1153671122647,-40.9621189176104,7.018703969322621,10021,24,86
5,524,4258,13,5905,CX,DG,"dentate gyrus, left",1027911,119,104,92,-27.7,-17.6,-15.8,-30.0606350359133,-17.0080064110538,-17.8044033676114,10021,525,109
6,525,4257,13,5897,CX,CA4,"CA4 field, left",1029991,118,104,92,-26.6,-17.6,-15.8,-28.8096343532304,-17.1528906505442,-17.827364663501,10021,526,109
7,526,4255,13,5889,CX,CA2,"CA2 field, left",1027904,117,100,92,-25.5,-17.4,-11.1,-27.75552464784869,-17.6193227313503,-13.099762012605801,10021,527,107
8,527,4254,13,5881,CX,CA1,"CA1 field, left",1027902,122,106,91,-31.0,-16.7,-18.2,-33.6341148679169,-15.5689710607605,-20.3622306463433,10021,528,110
9,528,4251,13,5873,CX,S,"subiculum, left",1027901,114,109,91,-22.0,-16.6,-21.8,-23.591102156211505,-15.5657002662322,-23.6572108843748,10021,529,111
10,531,4258,15,5828,CX,DG,"dentate gyrus, left",1013074,117,97,108,-25.3,-34.7,-6.0,-28.284227630071697,-34.6420967357865,-7.79344620378316,10021,532,92
11,532,4257,15,5820,CX,CA4,"CA4 field, left",1013076,116,97,108,-24.2,-34.7,-6.0,-27.235160685939398,-34.3738572130365,-7.60124555636757,10021,533,92
