Mixture,Exc_L4-6_RORB_SEMA3E,Exc_L4-5_RORB_FOLH1B,Inh_L2-4_PVALB_WFDC2,Exc_L2-3_LINC00507_FREM3,Inh_L1-2_VIP_LBH,Exc_L5-6_THEMIS_C1QL3,Exc_L3-5_RORB_ESR1,OPC_L1-6_PDGFRA,Inh_L1-4_LAMP5_LCP2,Exc_L2_LAMP5_LTK,Oligo_L1-6_OPALIN,Inh_L2-5_VIP_TYR,Exc_L4-5_RORB_DAPK2,Inh_L1-2_LAMP5_DBP,no_class,Inh_L1-2_PAX6_CDH12,Inh_L1-3_SST_CALB1,Inh_L1-3_VIP_CHRM2,Exc_L5-6_THEMIS_FGF10,Inh_L2-4_VIP_CBLN1,Inh_L1-2_SST_BAGE2,Inh_L3-5_SST_ADGRG6,Astro_L1-6_FGFR3_SLC14A1,Inh_L1-2_VIP_PCDH20,Exc_L5-6_FEZF2_ABO,Inh_L4-6_SST_B3GAT2,Exc_L3-5_RORB_FILIP1L,Exc_L3-5_RORB_COL22A1,Exc_L4-6_RORB_C1R,Inh_L4-6_PVALB_SULF1,Exc_L5-6_FEZF2_EFTUD1P1,Exc_L3-5_RORB_TWIST2,Exc_L2-4_LINC00507_GLP2R,Exc_L4-6_FEZF2_IL26,Inh_L1-2_GAD1_MC4R,Exc_L5-6_RORB_TTC12,Exc_L5-6_THEMIS_CRABP1,Inh_L2-6_LAMP5_CA1,Exc_L3-4_RORB_CARM1P1,Inh_L3-6_VIP_HS3ST3A1,Inh_L2-5_PVALB_SCUBE3,Inh_L5-6_SST_NPM1P10,Inh_L1_SST_NMBR,Inh_L2-5_VIP_SERPINF1,Inh_L2-4_VIP_SPAG17,Inh_L5-6_SST_KLHDC8A,Inh_L5-6_SST_MIR548F2,Inh_L2-6_VIP_QPCT,Inh_L1_SST_CHRNA4,Inh_L1-3_PAX6_SYT6,Inh_L1-3_VIP_CCDC184,Inh_L2-3_VIP_CASC6,Inh_L1-4_VIP_CHRNA6,Micro_L1-3_TYROBP,Exc_L5-6_SLC17A7_IL15,Exc_L5-6_THEMIS_DCSTAMP,Inh_L4-5_SST_STK32A,Inh_L1-3_VIP_ADAMTSL1,Exc_L6_FEZF2_OR2T8,Inh_L4-5_PVALB_MEPE,Inh_L5-6_SST_TH,Astro_L1-2_FGFR3_GFAP,Inh_L3-6_SST_HPGD,Inh_L1-3_VIP_GGH,Inh_L2-4_SST_FRZB,Inh_L1-2_VIP_TSPAN12,Exc_L6_FEZF2_SCUBE1,Inh_L5-6_GAD1_GLP1R,Inh_L4-6_SST_GXYLT2,Inh_L1-2_PAX6_TNFAIP8L3,Inh_L1-4_VIP_OPRM1,Inh_L5-6_PVALB_LGR5,Inh_L3-6_SST_NPY,Exc_L4-5_FEZF2_SCN4B,Inh_L1-4_VIP_PENK,P-value,Correlation,RMSE
12876_137,0,0.0819758778618326,0,0.223512664405874,0,0.0775798045587762,0,0.00331807923300067,0.0100071228852012,0.0188251793358117,0,0.0100453055199844,0.000302956875687913,0.0046769572099512,0,0.00944473703196969,0,0.0177580352869894,0.0383071725224168,0.00619861506742791,0,0.00335475706697507,0.0109397068184518,0.00389675899463552,0.0215423669926643,0,0,0.0256148045505148,0.0590236041048567,0.00474286637486511,0.0114429754353662,0,0,0.0215847157411113,0,0,0,0,0.00196191490713671,0.0187396224504656,0.00944135543347698,0.00649482245313074,0,0.0173857677108387,0,0.0232695209878108,0.00639838276448816,0,0.00217849074255445,0.00864280322135186,0.0142355700837503,0,0.0075203655168514,0.00330919523495047,0,0.00753144926411627,0,0.0225273421492067,0.0419608381975732,0.0174889905042814,0.0071767105797733,0,0.034922667290264,0,0,0.00513113873589835,0.0141672709627286,0.00866415768285302,0.00656613825568659,0.0159766633161826,0.000368347092438584,0.00504790929185795,0.00201920245599874,0.0267782988399698,0,0,0.824160707432237,0.772884994019216
12876_181,0,0.0583546287443641,0.013422489220425,0.145104738096087,0,0.0761111608016706,0,0,0.0165475890978257,0.00138629328567416,0,0.00169960126877017,0,0.00612770316334834,0.0098181344740589,0.00567015476800427,0,0.0153744167601969,0.0673666852395651,0.00782576752640127,0,0.0232397515232121,0,0.00169107063935112,0.0385173019744673,0,0,0.0151594950386317,0.067187629296943,0,0.00923504053214237,0,0.00728874415907527,0.0401915645639305,0,0.011847317854625,0.00280547181106362,0,0.0129751179501374,0.0177249732554855,0,0.00565663552302266,0,0.00862855631644719,0.00512933911908295,0.0362246273088003,0.00479228825705062,0,0.00881227574325545,0.0178888933501234,0.0235512724759916,0.0125489789465004,0.00520610326270309,0.00194425492478894,0,0.00921685718945008,0,0.0237603660824487,0.041743364183445,0,0.0153649516573897,0,0.0310505294229018,0,0,0.00650659647552329,0.0103483878286051,0.00688351254404621,0.00989614635428008,0.0175022212600221,0.00658044320378861,0.00957528874314855,0.000240220710909521,0.0082084994744897,6.65485963287949e-05,0,0.786955981654468,0.783313984845818
12876_182,0,0.0766357319348548,0.00777846804439181,0.14700764591731,0.00259739500585647,0.0827663594004575,0,0,0.0168652148701105,0,0,0.0103312838246614,0,0.00342061547818063,0,0,0,0.0191065012678804,0.0633296579946993,0.0100514736657608,0,0.0103832961113059,0.00200535008068369,0.00285747421939777,0.0367071889756531,0,0,0.00613985372943693,0.0461467493343667,0.00144094736380819,0.0254556517072758,0,0,0.0247353736008271,0,0.0171454134325429,0.0148109938728281,0,0.0431518348833829,0.00925653845309207,0.00395355663375136,0.0022076477098387,0,0.00941648172451709,0.00760645113602792,0.0357450194970452,0.000785002654441387,0,0.0103826828095195,0.0235941529052762,0.0263325112282508,0.00461469021860527,0.0066991441546893,0.000204810094739097,0,0.00213669782716378,0,0.0206457131137112,0.0377492883589857,0.000329815123310598,0.014178357544025,0,0.0243010034334791,0,0.00795163484335417,0.0112983949433028,0.0073085035745481,0.0099996739528025,0.00985393590924434,0.0139556843330177,0,0.00712607184890866,0,0.0214960612586795,0,0,0.778815526594335,0.785226343653993
12876_183,0,0.0166094552199485,0.0233249795712957,0.151714362256544,0.00664638246046534,0.0247063633184257,0,0,0.0101527999297453,0,0.000463192329544198,0.00919153936248494,0.00180313119932468,0,0.0207376212858029,0.00551797308607116,0,0.0126344757447567,0.0397431455410299,0.00892327879828872,0,0.0165181112071654,0.00116745243858092,0.00671342761272729,0.0454461673153801,0,0.00643694259799906,0.0171061535245279,0.0771145091499691,0.00317074367149021,0.0235047821716145,0,0,0.0686188807456592,0,0.0147263114284784,0.00145106777926469,0.00386922250587408,0.0534319230189675,0.0106491771250922,0.00293966787105798,0,0,0.0103968850700719,0,0.0320973956367732,0.00557886503323333,0.00346603700583076,0.00668886702904949,0.00433233783829395,0.0304727116289571,0,0.00593722364993433,0,0,0,0,0.0180225870783253,0.0379099007039635,0.00529429905294526,0.0139143187330493,0,0.0178731183156721,0,0,0.00613260838602597,0.0166886946270656,0.00852225035709062,0.00847136379710519,0.0134837735556776,0.0108076558358393,0.0106299470827219,0.00031430707738282,0.0469742009708621,0.000957411266553441,0,0.833723651320745,0.771710269389273
12876_184,0,0.0621773186190536,0.00195261883088432,0.204638861245011,0.00793702844722361,0.0835006171162003,0,0.00310243735631341,0.00857811631160831,0.0198217636792476,0,0.00323997173821426,0.0114312665346422,0.00681337203892951,0.0106983562526117,0.00239141146461048,0,0.0260790031805081,0.0519600176939767,0.00578720624286191,0,0.00248758394879694,0.00796233932202987,0.00881007015958674,0.00696246741703058,0,0,0.0106984537532878,0.0451898701830292,0,0.0211743544214973,0,0,0.0265988691435048,0,0,0.0023309134714532,0,0.0128521896867251,0.0116393257582908,0.00253134251728696,0.00632757566375027,0,0.00490834423390192,0,0.0304352094114119,0.0092070311783922,0.00649166743922378,0.0063002581857939,0.00769565719164521,0.0155985686248221,0,0.00846141546754153,0.00359980825564401,0,0,0,0.0264838717735789,0.0390469583386434,0.0196107282761723,0.0130090882570008,0,0.0345818827214516,0,0.00126576139098406,0.00813875141690606,0.0144991036830607,0.0060920519557274,0.00558529060835243,0.0142506823480316,0,0.00731065901606318,0.00268297719366468,0.0390695108338206,0,0,0.796010106552291,0.783788241371089
12876_185,0,0.060720440520197,0,0.172575433329847,0.0134912933008295,0.0830171641641144,0,0.00236569783405039,0.0169933965451899,0.0356796534669067,0,0.00021619529992816,0.00506780509955164,0.00191591225041783,0.00989444269832291,0.00640530761805906,0,0.0153137573788319,0.04585238112648,0.0110890200825298,0,0.000503505360141274,0.00814587039162652,0.00948087832039356,0.0157942352646183,0,0,0.00984693481464398,0.0546058508707746,0,0.0220899435710837,0,0,0.0283705763841215,0,0,0.00347297063004513,0,0.0179500799852187,0.011403147418137,0.00647173823811488,0,0,0.00872621351680501,0,0.0272782343920997,0.00931165179459544,0.004416079033235,0.00402363386157298,0.0042418465854904,0.0143465353872416,0,0.00728253262885199,0.00374506820465893,0,0,0,0.0255568077788052,0.0385331613284952,0.0200473842110065,0.0093048013732916,0,0.0361503676090482,0.00160233862103546,0,0.00954736983291081,0.018741112890835,0.0131890214661085,0.0182666275946373,0.0108580868545865,0,0.00389361044426703,0.00890379870227491,0.0333000839239714,0,0,0.846156212604961,0.763240129501849
12876_186,0,0.0884675720290665,0.00264272802101465,0.105254892727852,0.0121035313730335,0.0399383174982035,0,0.00179127207226946,0.00621720944194268,0.00165681689311111,0,0.00668916223992152,0,0.000662899929043507,0.00255294377597054,0.00289259498921168,0.00697793310884566,0.0121585747215968,0.0429065287468681,0.00928088047573207,0,0.00644385429522735,0.00396222298439432,0.00065162829946296,0.0555980131999189,0.0111783841933826,0,0.0106610365108648,0.0681301884088367,0.00607314142905131,0.0339903196859806,0,0,0.0582726288501916,0,0.0142744124083993,0.0106111167318175,0.00453487059482437,0.0291351103590707,0.0078039100799586,0.00516818090518506,0.00903678471161384,0,0.0100736181952577,0,0.0227717495916909,0.007779173956173,0.00907200460138616,0.00482316060617724,0.00500731754964044,0.0253688614430275,0,0.00570906610057271,0.000819186715103507,0.00354396943503294,0,0,0.0155918746323712,0.0392301856146869,0.0234315764834687,0.0043532482793391,0,0.0228676026274782,0,0,0.00890875180814923,0.0173164920119277,0.0135508539627481,0.0169295125082909,0.0101035062789051,0.0047413083246089,0.00611070050901673,0.00390196360223774,0.0402746534708455,0,0,0.752162147092622,0.802215217593181
12876_194,0,0.0341813591140429,0.00335465864699633,0.11078100278476,0,0.127180427672049,0.00820149621002713,0,0.0124099360269977,0.0178892186641896,0,0.000848082150030863,0,0.00475759896183451,0.0167386532807977,0.00164971359497409,0,0.0154743638948165,0.0554415318195924,0.00934264804846821,0,0.0159944593944275,0,0.00320299580837102,0.0119994670888521,0,0,0.0176790086660066,0.0559419630649876,0.0118645052431714,0.0281100660573662,0,0.00255854351432696,0.0319869507420672,0,0.020460909397471,0,0,0.0129860431608196,0.0144819481742559,0,0.00903935288284828,0,0.0110771096901701,0.00689834226209052,0.032109462590781,0.011473485430481,0,0.0075112266718688,0.0145374718268808,0.0239696642525776,0.00540904902901679,0.00809063208908859,0.00249593564568476,0,0.00894859172849996,0,0.0337308394294568,0.0353434386602772,0,0.0186437396455596,0,0.0338413209945502,0,0,0.0143130286076949,0.0209523706482677,0.00475446511866636,0.0022860298910496,0.0156941788822848,0.00769642459250366,0.0116182448806584,0.000494139987349473,0.0135539033799926,0,0,0.794667757391062,0.77960768679603
12876_195,0,0.0705761593706443,0.0127298524783614,0.125223210853465,0.00165801079526837,0.066650020522272,0,0.00190399261273377,0.00347946939219799,0.018050443526452,0.000625460361373439,0.0123861660274826,0,0.00356368506498195,0.0144474567305189,0.0035572290225611,0,0.0116794190092417,0.0370747139482189,0.00907810128293836,0,0.0129575490651856,0.00188768565088268,0.00174632884054629,0.0266112455230373,2.33458311593496e-05,0,0.0162651911716261,0.0632032799433277,0.00557243249024146,0.01423461453849,0,0,0.0597522918884461,0,0.0100102111295501,0,0.00831793223787748,0.0396932240666604,0.00379462985358743,0.00140961928926387,0.00498795600529886,0,0.012796469790027,0,0.0237527199613285,0.011296392960602,0.00358199241815702,0.00292727956958666,0.00262027471895699,0.0273937049156095,0,0.00590964343770744,0.00056907453791529,0,0,0,0.0151975095119551,0.0375956405072278,0.0193945262812844,0.006742843016531,0,0.0202774482328773,0.00337195296815479,0,0.0161190921983814,0.0192218271968446,0.0102730807447175,0.0134810315585049,0.012937769335077,0.00751168833222572,0.0085547323784471,0.0011540865148756,0.0539194507994607,0.000248839589652595,0,0.858153606927833,0.763893354388999
14380_67,0,0.0194492763993842,0.00694016156112096,0.104248185027637,0,0.0890420600993743,0,0.00900917528561808,0.010422125347782,0.0254453088288214,0,0.00156578233764177,0,0.00158073480703871,0.0495038495150655,0.00569051129943095,0,0.0205268925769587,0.0549205163660542,0.023099757953947,0,0.0142405136610909,0.00753051233669347,0,0.0061895713626686,0.00313495899762418,0,0.0279504410268508,0.0520890949339537,0.00332310176389772,0.00754012658038154,0,0,0.0290357191067726,0,0.0189720947808398,0,0,0.0346507721871709,0.0187512952704883,0,0.00987440198729304,0,0.00803230553745424,0.00614666185164643,0.0361308703540588,0.0127759555979207,0,0.0116335369877518,0.00547708789794877,0.0123453782692502,0,0.0090571368533185,0.00400126350470153,0,0.0119408722502132,0,0.0351185166605292,0.0398635512063607,0,0.0204561218826829,0.000665975072764353,0.050629428094926,0,0.00522796002836049,0.022884165315195,0.00431347590411604,0.0074417377239652,0,0.00981251965554852,0.00255860363723992,0.00814794973439837,0.0147297359343645,0.00436477575803379,0.00151747288565071,0,0.829130169781563,0.761503683886177
14380_68,0,0.0746881264704735,0.0132575601494211,0.122154512610511,0.00401004404172476,0.0632920545376243,0.00296112450404981,0,0.00910590170054861,0.0219877115340376,0,0.00263198700135799,0,0.00396891662026883,0.00214387620324643,0.00619446375634401,0,0.0264787949643892,0.0681255943881791,0.00835064335520089,0,0.00726762942135628,0.00478395184679224,0.00936330712670867,0.0478495768492476,0,0,0.016446910644616,0.0648101375047835,0.00743327642586573,0.00549733432285562,0,0.0121104186883629,0.0240011787043702,0,0.00387376834461009,0.0254777033165006,0,0.0241041898926348,0.0150739067700881,0.00101189860132471,0.00714599109631573,0,0.0149379124467184,0,0.0337311747167579,0,0,0.0100863279783009,0.0128017484332794,0.026047670735132,0.00149055603560604,0.00741797925609889,0.00118746149155259,0,0.00749226291941314,0,0.0274888338126853,0.0372160158217668,0.00387330566720255,0.0151514796249445,0,0.0325684633038325,0,0,0.0105953760999072,0.000389107285856083,0.00482689524319364,0.00755708534394276,0.0139982678193589,0,0.00687280594767368,0.00120921110169399,0.0174575675212733,0,0,0.800250914497967,0.778656138850742
