x,y,z,ind,surface
55,109,56,120,1.0
55,109,57,120,1.0
55,109,58,120,1.0
55,110,49,28,1.0
55,110,50,28,1.0
55,110,51,28,1.0
55,110,52,28,0.0
55,110,53,28,0.0
55,110,54,27,0.0
55,110,55,27,1.0
55,110,56,120,1.0
55,110,57,120,1.0
55,111,49,28,1.0
55,111,50,28,1.0
55,111,51,28,1.0
55,111,52,28,0.0
55,111,53,28,0.0
55,111,54,27,1.0
55,111,55,27,1.0
55,111,56,120,1.0
55,112,48,28,1.0
55,112,49,28,1.0
55,112,50,28,1.0
55,112,51,28,1.0
55,112,52,28,0.0
55,112,53,28,1.0
55,112,54,27,1.0
55,112,55,27,1.0
55,113,48,28,1.0
55,113,49,28,1.0
55,113,50,28,1.0
55,113,51,28,1.0
55,113,52,28,1.0
55,113,53,28,1.0
55,113,54,27,1.0
55,114,48,28,1.0
55,114,49,28,1.0
55,114,50,28,1.0
55,114,51,28,1.0
55,114,52,28,1.0
55,114,53,28,1.0
55,115,49,28,1.0
55,115,50,28,1.0
55,115,51,28,1.0
55,115,52,28,1.0
56,90,65,167,1.0
56,90,66,167,1.0
56,90,67,167,1.0
56,90,68,156,1.0
56,91,64,167,1.0
56,91,65,167,1.0
56,91,66,167,1.0
56,91,67,167,1.0
56,91,68,156,1.0
56,92,63,167,1.0
56,92,64,167,1.0
56,92,65,167,0.0
56,92,66,167,1.0
56,92,67,167,1.0
56,93,62,147,1.0
56,93,63,147,1.0
56,93,64,167,0.0
56,93,65,148,0.0
56,93,66,148,1.0
56,93,67,148,1.0
56,94,61,147,1.0
56,94,62,147,1.0
56,94,63,147,0.0
56,94,64,148,0.0
56,94,65,148,0.0
56,94,66,148,1.0
56,94,67,148,1.0
56,95,60,164,1.0
56,95,61,164,1.0
56,95,62,147,0.0
56,95,63,151,0.0
56,95,64,149,0.0
56,95,65,148,1.0
56,95,66,148,1.0
56,95,67,148,1.0
56,96,59,164,1.0
56,96,60,164,1.0
56,96,61,164,0.0
56,96,62,111,0.0
56,96,63,111,0.0
56,96,64,158,0.0
56,96,65,121,1.0
56,96,66,121,1.0
56,97,58,164,1.0
56,97,59,164,1.0
56,97,60,164,0.0
56,97,61,164,0.0
56,97,62,110,0.0
56,97,63,110,0.0
56,97,64,110,0.0
56,97,65,121,1.0
56,97,66,121,1.0
56,98,58,164,1.0
56,98,59,164,1.0
56,98,60,164,0.0
56,98,61,164,0.0
56,98,62,110,0.0
56,98,63,110,0.0
56,98,64,121,1.0
56,98,65,121,1.0
56,99,57,119,1.0
56,99,58,164,1.0
56,99,59,164,0.0
56,99,60,164,0.0
56,99,61,164,0.0
56,99,62,110,0.0
56,99,63,110,0.0
56,99,64,121,1.0
56,99,65,121,1.0
56,100,56,116,1.0
56,100,57,119,1.0
56,100,58,119,0.0
56,100,59,164,0.0
56,100,60,164,0.0
56,100,61,164,0.0
