Mixture,Inh_L4-6_PVALB_SULF1,Exc_L2-3_LINC00507_FREM3,Oligo_L1-6_OPALIN,Exc_L5-6_THEMIS_C1QL3,Exc_L3-5_RORB_ESR1,Exc_L3-4_RORB_CARM1P1,Inh_L2-4_PVALB_WFDC2,Exc_L4-6_RORB_SEMA3E,Exc_L4-5_RORB_FOLH1B,Inh_L1_SST_CHRNA4,Exc_L5-6_FEZF2_ABO,Inh_L1-4_LAMP5_LCP2,Exc_L2_LAMP5_LTK,Inh_L1-2_GAD1_MC4R,Inh_L1-2_SST_BAGE2,Exc_L2-4_LINC00507_GLP2R,Inh_L1-2_PAX6_CDH12,Inh_L2-5_VIP_SERPINF1,Exc_L3-5_RORB_COL22A1,Inh_L2-6_LAMP5_CA1,Inh_L1_SST_NMBR,Exc_L4-5_RORB_DAPK2,Astro_L1-6_FGFR3_SLC14A1,OPC_L1-6_PDGFRA,Exc_L3-5_RORB_TWIST2,Exc_L5-6_FEZF2_EFTUD1P1,Inh_L2-5_PVALB_SCUBE3,Inh_L1-3_SST_CALB1,no_class,Inh_L1-3_VIP_CHRM2,Inh_L1-3_VIP_ADAMTSL1,Exc_L4-6_FEZF2_IL26,Exc_L5-6_RORB_TTC12,Inh_L3-6_VIP_HS3ST3A1,Micro_L1-3_TYROBP,Inh_L4-6_SST_B3GAT2,Inh_L5-6_SST_MIR548F2,Inh_L1-3_VIP_GGH,Inh_L3-5_SST_ADGRG6,Inh_L4-5_SST_STK32A,Exc_L5-6_THEMIS_CRABP1,Exc_L5-6_THEMIS_FGF10,Exc_L3-5_RORB_FILIP1L,Exc_L4-6_RORB_C1R,Inh_L5-6_SST_TH,Astro_L1-2_FGFR3_GFAP,Inh_L2-4_VIP_CBLN1,Inh_L2-6_VIP_QPCT,Exc_L5-6_SLC17A7_IL15,Inh_L2-5_VIP_TYR,Inh_L4-5_PVALB_MEPE,Inh_L1-4_VIP_OPRM1,Inh_L1-2_VIP_PCDH20,Exc_L5-6_THEMIS_DCSTAMP,Inh_L4-6_SST_GXYLT2,Inh_L5-6_SST_KLHDC8A,Inh_L2-4_VIP_SPAG17,Inh_L3-6_SST_HPGD,Inh_L1-2_LAMP5_DBP,Inh_L2-3_VIP_CASC6,Inh_L5-6_SST_NPM1P10,Inh_L5-6_GAD1_GLP1R,Inh_L1-2_VIP_LBH,Inh_L5-6_PVALB_LGR5,Inh_L1-3_PAX6_SYT6,Inh_L1-4_VIP_CHRNA6,Inh_L2-4_SST_FRZB,Inh_L1-3_VIP_CCDC184,Inh_L1-2_PAX6_TNFAIP8L3,Inh_L1-4_VIP_PENK,Inh_L3-6_SST_NPY,Exc_L4-5_FEZF2_SCN4B,Exc_L6_FEZF2_SCUBE1,Exc_L6_FEZF2_OR2T8,Inh_L1-2_VIP_TSPAN12,P-value,Correlation,RMSE
10021_536,0,0.121074964186831,0.00148328208202091,0.0135449180306139,0.011040201523268,0.0332630184453287,0.0348915676333038,0,0.0771329278435525,0.00982570916865095,0,0.0258247455700318,0,0,0.00103008219266561,0,0,0,0.0215778707232657,0,0,0.0167754997223257,0.00377807587962795,0.000336542635039119,0,0.00490125869097197,0.00848797570833459,0,0.0635756650286989,0.0169856327702352,0.0118526798016065,0.0359534368520979,0.03948814178497,0.00539117303333035,0.000266369538025225,0.00183970200172113,0.0325192468701707,0,0,0,0.0280907728196136,0.0430412851036774,0,0.000354004929677811,0,0,0.0149502059939937,0.0131009030406288,0.0234278284366106,0.015628946921294,0.0224502482312742,0,0,0.00898357998053193,0.0125320921132037,0.00790542755350455,0.000753805876652302,0.0316804871693583,0,0.0132535570142014,0.00404227433802942,0.0142120802971922,0.014954655588639,0.0220899219042953,0,0.00042099596238755,0,0.0250234382587742,0.0169434648776666,0,0,0.0433133252953119,0.0167549509541822,0.00460548364692757,0.00864557597568393,0,0.430511675490942,0.912272282137263
10021_539,0,0.182373652488293,0,0.0408367816332858,0,0.0073574409678088,0.0254057845471655,0,0.0566976171242127,0,0.0176386663298135,0.0226335105908786,0.0214001634448648,0,0,0,0,0,0.0515990017574129,0,0.00969643173359311,0.0174285858393842,0.0190973510001884,0.00805651986290636,0,0.0290756549164192,0,0.00863881915892751,0.0450511083097873,0.0077524962554032,0.0208248117368092,0.019837930101363,0.0283329109838504,0.00776949864168419,0.00201433551120226,0,0.027422024858936,0,0,0.00120760973469057,4.73289684346681e-06,0.0448447391564472,0,0.0121247298121407,0,0,0.00768787962525094,0.00794123074357502,0.0173542121290936,0.014810991346305,0.0115404702648143,0.00493707875876976,0.0044949538662595,0.00811146742593417,0.0157325581099421,0.0231086136993205,0.00348456723836781,0.0295496009901287,0,0.00450856935288176,0,0.011317187831353,0.00281799180670603,0.000322906644010284,0.02081345928338,0,0,0.00527052746927901,0.0138356182689266,0,0.00201761889757219,0.039892092384085,0.00290782635578254,0.0124196681139508,0,0,0.787746325304957,0.789594352616755
10021_545,0,0.166576617383291,0,0.10508559333545,0,0,0.00211727385239072,0,0.0465810701113111,0.0044547417165158,0.0188985120989183,0.000500585167645299,0.0710270311502547,0,0.000302171898588745,0,0,0.00163955474678994,0.0585554201455334,0,0.00712998214856683,0,0.00350687509404273,0.00182929715819876,0,0.00340635206073113,0,0,0.0455606199315682,0.0102388240487242,0.016315973195413,0.0261256611864035,0.0111056724253605,0.013896308625379,0,0,0.0317467434663315,0.00270983736613226,0,0.00340617094109969,0.00212911526875504,0.0310233436814151,0,0.0378045935017157,0.000520063278814691,0,0.00964351355503582,0.00587014231149668,0.0217473630538483,0.030278341122584,0.0157785720230126,0,0,0.0157196742497463,0.0110001550574214,0.0135653364865114,0.00749793460776529,0.0166849968738676,0,0.00962730100757274,0,0.0107543154518478,0,0.00197322832048859,0,0.0102159915010668,0.00814679207100167,0.0117462372214768,0.0177790276558709,0,0.000232488035627762,0.0131435120816333,0.0201247061614496,0.0242763661653335,0,0,0.741627839779128,0.806468553282071
10021_546,0,0.194810189306292,0,0.0941219159259389,0,0.00599722132726565,0.00377127317517057,0,0.0509180009544264,0,0.00768722249377166,0.0163057300495919,0,0,0,0,0.0104916247632853,0,0.0469462608769069,0,0.00994681908953188,0,0.0119092548797389,0.00425150047895303,0,0.0059519409742453,0,0.00458768464115784,0.0420376132702846,0,0.0169636965437206,0.0234163360641829,0.0294536503413547,0.0209363388505029,0.000201890683408859,0,0.027383516224499,0.000405785084978522,0,0,0.0155599971603294,0.0311987958454796,0,0.0244934334973117,0,0,0.0237339823675729,0,0.0217618690708281,0.00617754130028899,0.0141287933059868,0,0.00622499590971805,0.0050119382422992,0.00703847157413244,0.0213458209877255,0.00259901829044704,0.0369022902035898,0,0.00177939795410499,0.0169210203205124,0.0119214674602703,0.0102203856757007,0.00296482631805566,0.0147459168184372,0.0111064322027363,0,0.0143380987958114,0.012170678891219,0,0.00194689266715116,0.00808470343976224,0.0133694204143616,0.0241474367920661,0.0116109084948936,0,0.788774856749553,0.782311254877772
10021_547,0,0.177034683334472,0,0.156465449248362,0,0.00286020049543999,0.0176955532505991,0,0.0292683089825879,0.0035305056234826,0.000701744115862388,0.0217109830825698,0.00401125361917288,0,0,0,0.00281376946755547,0,0.0432134438004538,0,0.00364041306570814,0,0.00945967015074101,0.00255810167228701,0,0.0084473341369837,0.00156347488027151,0,0.0292727505631724,0.0139501979227225,0.0158840679859363,0.0286916816252491,0.0202484121907194,0.0194810524478387,0.000610349918577274,0,0.0222700984931711,0.00637682481341231,0,0,0.0052512244659071,0.0418790859058807,0,0.0187804566962797,0.00229055501973609,0,0.0112786041617025,0.00148271584965003,0.0164452043440871,0.00659730562691196,0.0123755366715906,0,0.00511669567617356,0.0145046487008291,0.0144932273853147,0.0148116581490758,0.0054151629469207,0.0369592785553284,0,0.00294090754922119,0.00791732574843887,0.00954024844497767,0.00322524663500265,0.00860167911591182,0.0095123755171292,0.0116434830319465,0.00549016251099584,0.018133017846002,0.0110321858980409,0,0.0011966482379048,0.0160613965981954,0.0188242340626259,0.0161302674676676,0.010309136293203,0,0.812441247929912,0.773624048746762
10021_548,0,0.172230292832233,0,0.0224515252422602,0,0,0,0,0.0695526198700289,0,0.0240669075841184,0.0344693074336371,0,0,0,0,0,0,0.045665131739955,0,0.020249251804531,0,0.00736049678620798,0.00367594510857417,0,0.0042778578043563,0.00268852926646229,0.00840520225544969,0.0532286804749624,0.0171642807791506,0.0197023647808784,0.0168310849790104,0.0489837694818092,0.0138976443819413,0,0,0.0337754143531738,0,0.000212886698199704,0,0.00965826205500831,0.0430625564932443,0,0.0362467302346967,0,0,0.00329513317176883,0,0.0264184425527517,0.0159115305265168,0.0143616948329717,0,0.00671677182442648,0.0167214811526701,0.00670729754108919,0.0170119681053907,0.00433860201949492,0.0277328858027011,0,0.00464500252282047,0.0227930731431447,0.0106198162226565,0.00702232691546862,0.00992564756288118,0.0124192268868314,0.00206343324183415,0,0.0200761391619631,0.01382262659995,0,0.000507074441875274,0.0182013600121895,0.00479972275350596,0.0260320005652088,0,0,0.699693933989121,0.81815417635206
10021_549,0,0.184068249276431,0,0.00577668799025513,0,0.0238926407893953,0.026289034249822,0,0.0492427146098753,0,0.0164392026152939,0.0233934842228673,0,0,0,0,0,0,0.069867592136559,0,0.0223294772420557,0,0.0241253245877353,0.00705128489332069,0,0.024178314800204,0,0.0129749017208348,0.0458441596602561,0.00378114146216205,0.0171520881031926,0.0106584405456705,0.0381502793324037,0.0103965890456753,0.00254919192240341,0,0.0239592899651539,0.00795789994792058,0.00300887602018678,0,0.0114918480485447,0.0498620181299431,0,0.0241122621575446,0,0.00483064695037795,0.0132510184429682,0.000294443799883868,0.00856677086217732,0.00747278041152195,0.0115197379207865,0.00974360399312228,0.00389057854996873,0.0101070575019326,0.0238775266173487,0.0188636960928732,0,0.0258371532510545,0,0,0,0.0152941350168598,0.0118829232722618,0.00587530434501702,0.0134635419472348,0.00523848723512983,0,0,0.0120751572921493,0,0.00141487770199613,0.0293288331808025,0.011502529082048,0.0171162030567776,0,0,0.740493065266623,0.807124962613938
10021_558,0,0.158161908499201,0,0.113771836784553,0,0,0,0,0.0352182602524777,0,0.0188656316357648,0.00272107450178682,0.0784587062082491,0.00144326432426986,0.00292194806875232,0,0,0,0.0349056474279774,0,0.0151604939512177,0,0.0028312575094954,0.00357839033155764,0,0.0182761574861779,0,0.001274008834257,0.0354739693688317,0,0.00482551605332522,0.0217211416585846,0.0352575113056659,0.018191533057416,0,0,0.0368242180837584,0.0102249957537152,0,0.00157916647578265,0,0.0357749972289497,0,0.037314294030293,0,0,0.012271591765218,0.00687346035624961,0.0228837427573079,0.0248371541458015,0.0182602713495328,0,0,0.00673968948641259,0.0201216445078937,0.0153069478058968,0.00453235801705215,0.00976766871247355,0.00108207409904101,0.0173946598196817,1.09424061945459e-05,0.0192099460174722,0.00455419978819102,0,0.000535485416212136,0.0121761477277573,0.013278691198811,0.0071478556604971,0.017347703233848,0,0,0.0135401582164308,0.00807906721999466,0.0192726114599699,0,0,0.73417122382889,0.808407602287591
10021_559,0,0.225087638890616,0,0.047515862050266,0,0,0.0119412438011851,0,0.0514124685541046,0.00204712506194418,0.0125550744359438,0.0212386501338412,0.0048759949966303,0,0,0,0,0,0.0556419319277177,0,0.00220968705861677,0.0187119549771098,0.0189420622305574,0.00779927013687577,0,0.0163855435044682,0,0.00594061830721644,0.0317416999459318,0.0109247439680884,0.0232464996040598,0.0182153033117751,0.0340386367448055,0.00163825319472899,0.00305872329292743,0,0.02853050290723,0.00716886917925165,0.000137178910794034,0,0,0.035881021964013,0,0.0188986068372917,0,0,0.00668511735427593,0.00205384392155187,0.021099624273326,0.0208022262199156,0.00937005110867161,0.00416501828323315,0.00805566662892681,0.00467684204268721,0.0166065606902439,0.0216629884023547,0.00299422256729352,0.0346857349307164,0,0.010009785173408,0,0.0158155986889925,0.00743416614356222,0.000278473710727349,0.00768300039429674,0.00286418820417821,0.00235048866108601,0.00877658920039132,0.012564534897484,0,0.00150192713942522,0.0461888675565762,0.0037383063233711,0.0121510115553133,0,0,0.790311015962601,0.790291342680007
10021_560,0,0.185710132306101,0,0.0264641300592605,0,0.00312262241446404,0.000675529422475438,0,0.0461594299295965,0,0.0419057060436483,0.0160873964157714,0.00270117275989024,0,0,0,0.00172248370018936,0.000761813969267739,0.0539145895145113,0,0.00841749138535355,0,0.0152296239918437,0.00502477496812862,0,0.00660756341277246,0,0.0181038212681333,0.0286490103149699,0.010826072031028,0.0134637309767971,0.037573207521494,0.0257551020439132,0.00115227060134829,0.000857636415903025,0.00012434840151595,0.0144203359679199,0.0107433887377192,0.00439509856420852,0,0.0163325404340414,0.0412744993014683,0,0.0219402673697561,0,0,0.0121370659999008,0.00120671370610712,0.0258565084299716,0.0238980734258289,0.0253876334017113,0.00510644100302982,0.000905083351751324,0,0.025841908069867,0.0214095525476962,0.00189327381712255,0.0328136245727033,0,0.00476879589863769,0,0.0151019905813627,0.00348953218245962,0.00722790136969786,0.00583667517170438,0.00689840255050684,0,0.0052105121792916,0.0131841180516163,0,0.00401719343800892,0.0514426574924127,0.0195131703291859,0.020253621047691,0.00648376113824416,0,0.82099232305645,0.777144401994973
10021_562,0,0.192420801704227,0,0.142086051204801,0,0,0.00974587755736763,0,0.0453865520214717,0.00500786642995922,0.019527053057591,0,0.054672575439389,0,0.00241450736694682,0,0,0.00114969733710306,0.0444119940485445,0,0.00771694327440397,0,0.0024231903850566,0.00119736960152043,0,0.00455285044538678,0,0,0.0310171711076951,0.00636410813537111,0.0152287617627511,0.0261583353657432,0.0209103489732092,0.013932752578162,0,0,0.0238973187130191,0.00520449981137831,0,0,0,0.0394476832098909,0,0.0307415397697029,0.00035619133970217,3.48069374195626e-05,0.0085484822537583,0.00593708091059547,0.0184280012629201,0.0225658320868764,0.00335568768919556,0,0,0.00884621552956742,0.0164802160175168,0.0121077659579223,0.00358390204585807,0.0119039702765335,0,0.014120697132836,0.00342218665185185,0.0114491606975222,0.00253244335646029,0,0,0.0109021680767333,0.0172117340795443,0.0179966506436861,0.0142599832541578,0,0.000263527584373742,0.0151216706943851,0.0199191019753797,0.0150366742445121,0,0,0.740449877711118,0.80549577106383
