,probe_ind,ant-post,step,gene_symbol
307,24515,posterior,2,SYT10
308,45894,posterior,2,GRIK1
309,46695,posterior,2,HTR2C
310,54073,posterior,2,A_32_P104023
311,53066,posterior,2,GRIA3
312,33244,posterior,2,CHN2
313,46697,posterior,2,HTR2C
314,20155,posterior,2,GLYATL1
315,53223,posterior,2,A_24_P365349
316,9366,posterior,2,ARHGEF17
317,53030,posterior,2,MGC24103
318,42470,posterior,2,RP11-122A3.2
319,12939,posterior,2,GAL
320,27029,posterior,2,OSBPL3
321,24770,posterior,2,P2RY8
322,14129,posterior,2,FEV
323,41762,posterior,2,WIPF3
324,29226,posterior,2,GRIK1
325,46734,posterior,2,HTR2C
326,23366,posterior,2,ADAMTS19
327,34424,posterior,2,STK3
328,44760,posterior,2,AIRE
329,46879,posterior,2,GABRD
330,2451,posterior,2,HTR2C
331,14184,posterior,2,DCHS2
332,37745,posterior,2,A_24_P307599
333,33243,posterior,2,CHN2
334,17019,posterior,2,NECAB1
335,20021,posterior,2,RERG
336,2462,posterior,2,HTR2C
337,2448,posterior,2,HTR2C
338,2436,posterior,2,HTR2C
339,2863,posterior,2,KLK1
340,45895,posterior,2,GRIK1
341,53423,posterior,2,A_32_P50187
342,23897,posterior,2,EML3
343,30441,posterior,2,NUDT1
344,34523,posterior,2,GNG4
345,45889,posterior,2,GRIK1
346,27480,posterior,2,TAC1
347,47946,posterior,2,A_23_P10488
348,51488,posterior,2,A_32_P405010
349,2439,posterior,2,HTR2C
350,4398,anterior,2,SLC26A4
351,8162,anterior,2,CRLF1
352,23351,anterior,2,NUDT10
353,38830,anterior,2,IRX2
354,22271,anterior,2,C5orf38
355,23816,anterior,2,ATOH7
356,39140,anterior,2,LRCOL1
357,46517,anterior,2,SLC18A2
358,29824,anterior,2,RASL10A
359,45808,anterior,2,TH
360,20788,anterior,2,HRASLS5
361,5785,anterior,2,SGCG
362,57132,anterior,2,A_32_P30004
363,38001,anterior,2,AC013271.3
364,54206,anterior,2,A_32_P210232
365,22108,anterior,2,CCBE1
366,44853,anterior,2,ATP2B4
367,24484,anterior,2,RSPO2
368,24190,anterior,2,C1QTNF9
369,22294,anterior,2,SLC2A12
370,55893,anterior,2,A_24_P17052
371,49057,anterior,2,A_32_P89152
372,3322,anterior,2,KIF25
373,12811,anterior,2,CPAMD8
374,3750,anterior,2,NDP
375,40303,anterior,2,NRG1
376,29825,anterior,2,RASL10A
377,3405,anterior,2,MET
378,27100,anterior,2,PDE5A
379,9711,anterior,2,PLXNC1
380,40705,anterior,2,EGFEM1P
381,12304,anterior,2,MOXD1
382,19988,anterior,2,SYTL1
