Mixture,Exc_L2_LAMP5_LTK,Exc_L5-6_FEZF2_ABO,Exc_L3-5_RORB_ESR1,Exc_L4-5_RORB_FOLH1B,Inh_L4-5_PVALB_MEPE,Oligo_L1-6_OPALIN,Exc_L5-6_RORB_TTC12,Exc_L3-5_RORB_FILIP1L,Astro_L1-6_FGFR3_SLC14A1,Inh_L5-6_PVALB_LGR5,Inh_L4-6_SST_B3GAT2,no_class,Exc_L5-6_SLC17A7_IL15,Inh_L1-3_SST_CALB1,Exc_L4-6_RORB_SEMA3E,Exc_L2-3_LINC00507_FREM3,Inh_L1-4_LAMP5_LCP2,Inh_L4-6_PVALB_SULF1,Inh_L1-2_VIP_LBH,Exc_L5-6_THEMIS_FGF10,Inh_L1-3_VIP_ADAMTSL1,Inh_L1-3_VIP_CHRM2,Exc_L5-6_THEMIS_C1QL3,Inh_L1-2_SST_BAGE2,Inh_L5-6_SST_KLHDC8A,Inh_L2-4_PVALB_WFDC2,Inh_L1_SST_NMBR,Exc_L5-6_FEZF2_EFTUD1P1,Inh_L3-6_VIP_HS3ST3A1,Inh_L2-4_SST_FRZB,Exc_L4-5_RORB_DAPK2,Inh_L1-2_PAX6_TNFAIP8L3,Inh_L3-5_SST_ADGRG6,Inh_L2-5_VIP_SERPINF1,Exc_L4-6_RORB_C1R,Exc_L3-4_RORB_CARM1P1,Inh_L1_SST_CHRNA4,Inh_L2-4_VIP_SPAG17,Exc_L3-5_RORB_COL22A1,Inh_L2-5_VIP_TYR,Inh_L4-5_SST_STK32A,Micro_L1-3_TYROBP,Exc_L6_FEZF2_OR2T8,Inh_L1-2_PAX6_CDH12,OPC_L1-6_PDGFRA,Inh_L2-6_LAMP5_CA1,Inh_L1-3_PAX6_SYT6,Exc_L3-5_RORB_TWIST2,Inh_L1-3_VIP_CCDC184,Astro_L1-2_FGFR3_GFAP,Exc_L5-6_THEMIS_CRABP1,Inh_L5-6_SST_NPM1P10,Inh_L1-2_LAMP5_DBP,Inh_L5-6_SST_MIR548F2,Inh_L4-6_SST_GXYLT2,Endo_L2-6_NOSTRIN,Exc_L6_FEZF2_SCUBE1,Inh_L2-5_PVALB_SCUBE3,Exc_L2-4_LINC00507_GLP2R,Exc_L4-6_FEZF2_IL26,Inh_L2-6_VIP_QPCT,Inh_L3-6_SST_HPGD,Inh_L2-4_VIP_CBLN1,Inh_L1-2_GAD1_MC4R,Inh_L3-6_SST_NPY,Inh_L1-2_VIP_PCDH20,Inh_L1-4_VIP_CHRNA6,Exc_L5-6_THEMIS_DCSTAMP,Inh_L1-4_VIP_OPRM1,Exc_L4-5_FEZF2_SCN4B,Inh_L5-6_GAD1_GLP1R,Inh_L5-6_SST_TH,Inh_L2-3_VIP_CASC6,Inh_L1-3_VIP_GGH,Inh_L1-2_VIP_TSPAN12,Inh_L1-4_VIP_PENK,P-value,Correlation,RMSE
10021_532,0,0.0492426503758974,0,0.0593488689011688,0.00760786620872678,0,0.0148990308388677,0,0.00683340399787482,0.000523307394602136,0,0.102082514762554,0.00210271075887101,0.0148064989469562,0,0.156615284284812,0.0107194416316636,0.0202566088315706,0.0118569521326577,0.0118228318512926,0.000266952188367104,0.0164957178228282,0.0741087787595315,0,0,0,0.00315846627914263,0.0247350057490097,0.011041040557823,0.0140681954449183,0,0.0103830360742184,0.00803954137016498,0.00251783924358222,0.0421529419584358,0.0301803533672274,0,0.0195988690354442,0.0102239813122049,0.0169445361935976,0,0.000321658504908712,0.0179364389010147,0.0181783055244959,0,0,0.0164207122860668,0,0.0188448814338899,0,0.0103428319093042,0.0217484102255043,0.0114538990486237,0,0,0,0.00888817956686402,0.00526045146745204,0,0.00560900774899108,0.00652577419452595,0.0282157086540219,0.00587110337203076,0,0.00344137256924267,0,0,0.00230558897431556,0,0.0283182097293699,0.00666755936529921,0.00152335733253555,0.00959736966007939,0,0.017095159239151,0.00280079401830162,0,0.790746802973122,0.755515048775394
10021_533,0.0123501642590539,0.0117770440602099,0,0.019317757981281,0.00955387803062595,0,0.00141627184938578,0,0.00851208099541718,0,0,0.110128307884071,0.0109116338137928,0.00667996627820252,0,0.151771031856018,0.00295981602458907,0.00949094410462821,0.0105244607012836,0.0305139443931995,0,0.0129102900269992,0.128567850182424,0,0.00519477957301921,0,0,0.0312988030893941,0.0181401253551367,0.0131699046678867,0,0.00832476839111213,0.00312486852142927,0.00436204610074486,0.0419211128239613,0.0260384913980945,0,0.0222076773049518,0.0187811795979719,0.00770096618707705,0,0,0.0302849872277418,0.0108204930613425,0.000138119712864425,0.002459766063302,0.0117089186989408,0,0.0154696133849061,2.31464340708818e-05,0,0.0213299341759085,0.0103109837729574,0.00322604989703597,0,0,0.0146010382105803,0.00526084362063814,0,0.0266058057672932,0.00733402551497369,0.0342455969651039,0.013691397314688,0,0.00264661534947307,0,0,0,0,0.0106249843370596,0.0102332517682904,0.00274768138851334,0.00350361466152786,0,0.0194445053726877,0.00563846184813992,0,0.496776196095896,0.881966567738166
10021_534,0,0,0,0,0.00909462540844875,0,0.00277543734364427,0,0.00691507386970846,0,0.00858330437594002,0.0933259374296588,0.00161940391077513,0,0,0.189118887515577,0.0117119506759005,0.00885035604967135,0.00299747698435918,0.0265441667525156,0,0.003393336704312,0.141171928755398,0,0.00969166113028986,0,0,0.0368360851176526,0.0115414194430349,0.0229037735693362,0,0.00451476395343619,0.00910224414471745,0.0071351705448384,0.0376647355213363,0.0334732228349325,0.000517289926954912,0.0217525460717899,0.0181453234319276,0.015267302821323,0,0.00122033165224077,0.0310475896329269,0.0163754877868993,0,0,0.00387117046253066,0,0.012605960669904,0.00337508267321625,0,0.0197211729742077,0.00823321067327514,0,0,0,0.00892118946382734,0.000665659947642472,0,0.0312224919910762,0.00547531622793485,0.0381059760958492,0.025110467484051,0,0.010251410469806,0,0,0,0,0,0.0121315091302068,0.00642222655998227,0,0.00269026689779892,0.0219259897207984,0.00598006519834693,0,0.850033358113652,0.731552900734124
10021_535,0.0341746347648332,0.0540856951625729,0,0.0269860973605672,0.0147803141502864,0,0.0162354321704224,0,0.0137832506808785,0,0,0.0908920393948319,0.010079192200958,0,0,0.19439292420938,0,0.0139060125006178,0.0207659366391317,0.0188387564217502,0,0,0,0,0.0146304084176107,0,0.0172323849332291,0.0110885518485846,0.0204204805876629,0.0196651921620818,0,0.00360992917183355,0,0.0100110358657671,0.0448897073297913,0,0,0.0085164393517771,0.00656204638087118,0.0159299468149614,0,0.00191919565124275,0.0144521578773835,0.0107062111551515,0.00276714841335417,0.0102988185860491,0.0122273138893043,0,0.0215933713357854,0.00339139971822076,0.0120638116644223,0.019089901030002,0.0116521033108697,0,0,0.00120906164022754,0.00699949748536145,0.0010893052883247,0,0.0325604000088876,0,0.0487018460073055,0.0176975031043942,0,0.0237343208029813,0,0,0.0110400591525805,0,0.0183592728019775,0.00501010366024081,0,0,0.0122612342507126,0.0127119671329522,0.0069875875118672,0,0.671227069024457,0.809253049362365
10021_536,0,0,0.0397709920595424,0.0531416038829597,0.00588521920408462,5.3813977624394e-05,0.0454676908822588,0,0,0.0109928753302721,0,0.110686006904345,0.0118254406247041,0,0,0.0722316008321189,0.00358982994559012,0,0.0149624673190335,0.0226686300404907,0,0.0142721223835099,0.0479617132671222,0.00054600222878762,0.0104145471296831,0.0186275797480893,0.00164789119841391,0.0135915616007073,0.00929566510383128,0.00882372509627047,0.0177348731591638,0.0148895971044005,0,0.0133808429543903,0,0.0863128296047861,0.00331957005877913,0,0,0.00833377170010742,0.0103023950458148,0,0.014949507568695,0,0.000540391390794277,0.0281136515189669,0.000480205019402858,0,0.028346968003665,0.0022032562440978,0.0260905859565742,0.025474318606138,0.0120857203015951,0.00066392695208488,0,0.00335753072647083,0.0158245879073738,0.020104577232849,0,0.0156261963123106,0.00736796014716254,0.0166044056159862,0.00907892150722288,0,0,0,0,0.0126314501455601,0.0189508180593094,0.0333031489622131,0.0125708103669673,0,0.00406382093232491,0,0.0126830434400973,0.00815333869525648,0,0.588929966503136,0.846589442052561
10021_539,0.0123367510274331,0.0229655377783831,0,0.0378139511419533,0.00982069214310082,0,0.0113025254874502,0,0.0162945541575016,0,0,0.0857314366408498,0.0210818151975041,0.00671139481465837,0,0.205410597618637,0.0123699577449553,0.0152454156660066,0.0139890175861127,0.0203993239474422,0,0,0.0563055728150198,0,0,0,0,0.017175828485394,0.0169366922830353,0.0172413209825183,0,0.0107261661935596,0,0.00632434469081174,0.0454294271737564,0.018424240017545,0,0.0197579807028281,0.0196100715502049,0.0090434708263363,0,0.0012229572990883,0.0309354919507484,0.00930158301906679,0.0031392092654943,0,0.0119648660317142,0,0.0143156558210552,0.000185864987369283,0.000291004910746284,0.019222292396033,0.0141035348949637,0.00363527856579054,0,0,0.00458490248079093,0,0,0.0143987300687424,0.00426041390338602,0.0338286698340656,0.0105941851225567,0,0.00843215153328176,0.00450048473964773,0,0,0,0.0442078765558772,0.00168027460525064,0.00591132560319703,0,0.00679736455792149,0.0151943900272534,0.00884340515296114,0,0.813888272096063,0.750407342462262
10021_545,0.0531658527759528,0.0118781094998368,0,0.026814260159207,0.00865481212965368,0,0,0,0.00231787899540909,0.00437502329174979,0,0.114484301930996,0.01788093706765,0,0,0.178873765120972,0,0.0052031232122888,0.00792896040684253,0.00603833501737911,0.00543362545891762,0.00626474163978595,0.111385293383437,0.0098912404544676,0.013061209013568,0,0,0.026489137773402,0.017075422380724,0.0104337570976917,0,0.00895792763425974,0,0.0153699512677986,0.0539744959905658,0,0,0.0212693006243407,0.022076129556289,0.0232838994624339,0,0,0.0220477254852138,0.00146091570316943,0,0.0137266684885018,0,0,0.017097477927932,0,0.0176924944557363,0.0134287390388394,0.0146064096071272,0.00584567735114114,0.00565878297826098,0,0.0108757378320796,0.00397079181633198,0,0.0317759791207523,0,0.023194959258861,0.00129232563790509,0,0.000786334314528164,0,0,0,0,0.00510716061049595,0.00971337077728678,0.00475308736859529,0,0,0.0118437486972402,0.00254012218438318,0,0.775925284059471,0.770245723615949
10021_546,0.00559559768423454,0,0,0.0229439597404687,0.00494939680666478,0,0.00325382080705185,0,0.005884026394446,0,0,0.105148145452899,0,0.00270009293700126,0,0.150467480867539,0.0137570075490358,0.0115189897185757,0,0.0312145162046409,0.00160051873585833,0.00495617022893634,0.115104063707739,0,0.00593836821637973,0,0,0.0347447010330165,0.0148331809127854,0.0166066435145007,0,0,0.00346371734319405,0.00534418099502176,0.0535391624490593,0.0356572062774272,0,0.031574557872412,0.0228931366008849,0.000712969160202615,0,0.000495775140228564,0.02170850060963,0.0336617069787322,0,0,0.00017418600922623,0,0.015614618180153,0.00222001012787907,0.011176845902878,0.0273868384468676,0.00851824364288056,0,0,0,0.0173417044175654,0.00376005350594824,0,0.0312184747524061,0,0.039987518032504,0.0202056445783586,0,0.00768771149550637,0.00254060603849372,0,0,0,0.00198474576799045,0.0061732285701506,0,0,0.00511495102611846,0.0324700386943554,0.00615698687215185,0,0.825025890847889,0.738698662833459
10021_547,0.00882875667769897,0,0,0.02003270359224,0.0017105109311209,0,0,0,0.00620051819920142,0,0,0.0855175018816289,0.0081918717417548,0,0,0.145980559619067,0.0126453758557486,0.00809280280344896,0.0108951057565157,0.0278336429330328,0,0.0121481713991927,0.164524380437872,0,0.0140491420637705,0,0,0.0333696575306559,0.0157996554395349,0.0195626104545443,0,0.00385381320095171,0.00784994911945563,0.00112572035286041,0.0495789656121146,0.0270113281586998,0,0.0234827627156813,0.0176744614871922,0.0107149981877639,0,0.000652740941072396,0.0295052058925508,0.0215618203891726,0,0,0.00256894755191792,0,0.0121881014186722,0.000982839609357864,0,0.0217910045069953,0.0114799750399916,0,0,0,0.0129143013478107,0.0075516011275028,0,0.0280884168662856,0.00704277658932418,0.0372153673779134,0.0101148225446977,0,0.00377103057378597,0,0,0,0,0.0098352466422682,0.00783616616069591,0.00380221147107051,0.00232691029867619,0,0.0244488120787433,0.00764673541974695,0,0.846599588511,0.731289896044603
10021_548,0,0.0275848226368242,0.0107342727828948,0.0566925193376836,0.00623825098770267,0,0.00197126577746839,0,0.00497982344678151,0.000553150357574889,0,0.0831691185614773,0.0093931235356903,0,0,0.160563254320479,0.0235786786888381,0.0116404943974469,0.00765878712259317,0.0205230115297951,0.00472689037060002,0.0175426555092594,0.109160814168272,0,0.0032227693849597,0,0,0.0321350098387288,0.00929098527510629,0.0190603354037728,0,0.00475641941485842,0,0.00268918019986481,0.0425708354843993,0.0300249088478936,0,0.0186414810537375,0.0203953584868664,0.0138341120580155,0,3.48694152129457e-05,0.0224026726249023,0.0173467582080747,0,0,0.00403847181990771,0,0.0120197833307593,0,0.0224666063201859,0.0249991559906825,0.00998146652016335,0,0.0060781508342665,0,0.0129421686072107,0.00727145723219824,0,0.022123930854181,0.0027872145965802,0.0248028227135253,0.00490050567550091,0,0.00289141174029007,0,0,0,0,0.015677495823586,0.00517561969775307,0.00235323096998406,0.00400672319480866,0.00395610539744889,0.01533477140511,0.00307627804808358,0,0.73714548024536,0.784616005408938
